smile,value_min,value_max,value_mean
CCc1ccc(CN2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4)cc3C2=O)cc1,182.0,182.0,182.0
Cc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N5C(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9ccc%10c(c9)C(=O)N(C)C%10=O)cc8)cc7)cc6C5=O)c4)cc3)cc2)c1,196.0,200.0,198.0
CN1C(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc5c(c3)C(=O)N([C@H]3CC[C@H](C)CC3)C5=O)C4=O)cc2C1=O,354.0,354.0,354.0
CN1C(=O)c2ccc(N3C(=O)c4ccc(C(=O)Nc5ccc6c(c5)C(=O)N([C@H]5CC[C@H](C)CC5)C6=O)cc4C3=O)cc2C1=O,354.0,354.0,354.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)cc2)cc1,418.0,418.0,418.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(C)C(=O)C7CCC(C4=O)C5C67)cc3)cc2)cc1,357.0,357.0,357.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(C)C(=O)C8CCC(C5=O)C6C78)cc4)cc3)cc2)cc1,358.0,358.0,358.0
CC1CCC(CC2CCC(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)CC2)CC1,312.0,312.0,312.0
Cc1ccc(Oc2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2)cc1,333.0,346.8,341.93333333333334
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2)cc1,295.0,295.0,295.0
CC1CCC(CC2CCC(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)CC2)CC1,267.0,301.0,284.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2)cc1,256.0,260.6,258.3
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCC7C(=O)N(C)C(=O)C7C6)CC5C4=O)cc3)cc2)cc1,230.0,230.0,230.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc4)cc3)cc2)cc1,240.0,240.0,240.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5)cc4c(=O)c3c2)cc1,400.0,400.0,400.0
CC1CCC(N2C(=O)C3CCC(C4CCC5C(=O)N(C)C(=O)C5C4)CC3C2=O)CC1,272.0,272.0,272.0
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)CC2)CC1,241.0,241.0,241.0
Cc1ccc(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)cc1,321.0,321.0,321.0
Cc1ccc(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)cc1,321.0,321.0,321.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)cc2)cc1,274.0,274.0,274.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)cc2)cc1,274.0,274.0,274.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCC7C(=O)N(C)C(=O)C7C6)C5C4=O)cc3)cc2)cc1,237.0,237.0,237.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCCC7C(=O)N(C)C(=O)C76)CC5C4=O)cc3)cc2)cc1,237.0,237.0,237.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCC8C(=O)N(C)C(=O)C8C7)C6C5=O)cc4)cc3)cc2)cc1,249.0,249.0,249.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCCC8C(=O)N(C)C(=O)C87)CC6C5=O)cc4)cc3)cc2)cc1,249.0,249.0,249.0
CC1CCC(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)CC1,293.0,293.0,293.0
CC1CCC(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)CC1,293.0,293.0,293.0
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)CC2)CC1,245.0,245.0,245.0
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)CC2)CC1,245.0,245.0,245.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)cc2)cc1,297.0,297.0,297.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCCC7C(=O)N(C)C(=O)C76)C5C4=O)cc3)cc2)cc1,272.0,272.0,272.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,356.0,356.0,356.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCCC8C(=O)N(C)C(=O)C87)C6C5=O)cc4)cc3)cc2)cc1,290.0,290.0,290.0
CC1CCC(N2C(=O)C3CCCC(C4CCCC5C(=O)N(C)C(=O)C54)C3C2=O)CC1,301.0,301.0,301.0
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)CC2)CC1,241.0,241.0,241.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc2)(C4)C3)cc1,383.0,383.0,383.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc2)(C4)C3)cc1,423.0,423.0,423.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc2)(C4)C3)cc1,342.0,342.0,342.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)cc2)(C4)C3)cc1,422.0,422.0,422.0
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c(C)c2)(C4)C3)cc(C)c1C,392.0,392.0,392.0
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,440.0,440.0,440.0
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,361.0,361.0,361.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,374.0,374.0,374.0
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c(C)c2)(C4)C3)cc(C)c1C,426.0,426.0,426.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c2)(C4)C3)c1,321.0,321.0,321.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c2)(C4)C3)c1,343.0,343.0,343.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c2)(C4)C3)c1,285.0,285.0,285.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c2)(C4)C3)c1,378.0,378.0,378.0
Cc1ccc(N2C(=O)c3ccc(O[C@@H]4CO[C@@H]5[C@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CO[C@H]45)cc3C2=O)cc1,300.0,300.0,300.0
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)cc1,250.0,250.0,250.0
Cc1ccc(C(=O)c2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)cc1,267.0,267.0,267.0
Cc1ccc(C(c2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,277.0,277.0,277.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4)CO[C@H]23)cc1,214.0,214.0,214.0
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4)CO[C@H]23)cc1,214.0,214.0,214.0
