smile,value_min,value_max,value_mean
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)cc2)cc1,54.3,54.3,54.3
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCCC7C(=O)N(C)C(=O)C76)CC5C4=O)cc3)cc2)cc1,56.3,56.3,56.3
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCC7C(=O)N(C)C(=O)C7C6)C5C4=O)cc3)cc2)cc1,56.3,56.3,56.3
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCC8C(=O)N(C)C(=O)C8C7)C6C5=O)cc4)cc3)cc2)cc1,55.2,55.2,55.2
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCCC8C(=O)N(C)C(=O)C87)CC6C5=O)cc4)cc3)cc2)cc1,55.2,55.2,55.2
CC1CCC(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)CC1,56.6,56.6,56.6
CC1CCC(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)CC1,56.6,56.6,56.6
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)CC2)CC1,63.6,63.6,63.6
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)CC2)CC1,63.6,63.6,63.6
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)cc2)cc1,50.6,50.6,50.6
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCCC7C(=O)N(C)C(=O)C76)C5C4=O)cc3)cc2)cc1,54.7,54.7,54.7
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,11.4,11.4,11.4
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCCC8C(=O)N(C)C(=O)C87)C6C5=O)cc4)cc3)cc2)cc1,53.6,53.6,53.6
CC1CCC(N2C(=O)C3CCCC(C4CCCC5C(=O)N(C)C(=O)C54)C3C2=O)CC1,53.5,53.5,53.5
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)CC2)CC1,60.6,60.6,60.6
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc2)(C4)C3)cc1,61.1,61.1,61.1
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc2)(C4)C3)cc1,54.3,54.3,54.3
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc2)(C4)C3)cc1,58.3,58.3,58.3
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)cc2)(C4)C3)cc1,49.8,49.8,49.8
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c(C)c2)(C4)C3)cc(C)c1C,57.5,57.5,57.5
