smile,value_min,value_max,value_mean
Cc1ccc(Oc2ccc(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)cc2)cc1,106.0,106.0,106.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(C)C(=O)C7CCC(C4=O)C5C67)cc3)cc2)cc1,115.0,115.0,115.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(C)C(=O)C8CCC(C5=O)C6C78)cc4)cc3)cc2)cc1,111.0,111.0,111.0
CC1CCC(CC2CCC(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)CC2)CC1,88.0,88.0,88.0
Cc1ccc(Oc2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2)cc1,83.0,117.0,100.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2)cc1,80.0,80.0,80.0
CC1CCC(CC2CCC(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)CC2)CC1,68.0,68.0,68.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2)cc1,88.0,88.0,88.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCC7C(=O)N(C)C(=O)C7C6)CC5C4=O)cc3)cc2)cc1,84.0,84.0,84.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc4)cc3)cc2)cc1,86.0,86.0,86.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5)cc4c(=O)c3c2)cc1,192.0,192.0,192.0
CC1CCC(N2C(=O)C3CCC(C4CCC5C(=O)N(C)C(=O)C5C4)CC3C2=O)CC1,58.0,58.0,58.0
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)CC2)CC1,73.0,73.0,73.0
Cc1ccc(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)cc1,106.0,106.0,106.0
Cc1ccc(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)cc1,106.0,106.0,106.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)cc2)cc1,87.0,87.0,87.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)cc2)cc1,87.0,87.0,87.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCCC7C(=O)N(C)C(=O)C76)CC5C4=O)cc3)cc2)cc1,104.0,104.0,104.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCC7C(=O)N(C)C(=O)C7C6)C5C4=O)cc3)cc2)cc1,104.0,104.0,104.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCCC8C(=O)N(C)C(=O)C87)CC6C5=O)cc4)cc3)cc2)cc1,91.0,91.0,91.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCC8C(=O)N(C)C(=O)C8C7)C6C5=O)cc4)cc3)cc2)cc1,91.0,91.0,91.0
CC1CCC(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)CC1,78.0,78.0,78.0
CC1CCC(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)CC1,78.0,78.0,78.0
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)CC2)CC1,75.0,75.0,75.0
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)CC2)CC1,75.0,75.0,75.0
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)cc2)cc1,89.0,89.0,89.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCCC7C(=O)N(C)C(=O)C76)C5C4=O)cc3)cc2)cc1,89.0,89.0,89.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,128.0,128.0,128.0
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCCC8C(=O)N(C)C(=O)C87)C6C5=O)cc4)cc3)cc2)cc1,87.0,87.0,87.0
CC1CCC(N2C(=O)C3CCCC(C4CCCC5C(=O)N(C)C(=O)C54)C3C2=O)CC1,71.0,71.0,71.0
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)CC2)CC1,74.0,74.0,74.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc2)(C4)C3)cc1,98.0,98.0,98.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc2)(C4)C3)cc1,94.0,94.0,94.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc2)(C4)C3)cc1,117.0,117.0,117.0
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)cc2)(C4)C3)cc1,95.0,95.0,95.0
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c(C)c2)(C4)C3)cc(C)c1C,99.0,99.0,99.0
