block,count
[5*]N1CCN([5*])CC1,1
[16*]c1ccc([16*])c(N)c1,3
[16*]c1ccc2c(c1)C(c1ccc(N)cc1)(c1ccc(N)cc1)c1cc([16*])ccc1-2,1
[16*]c1ccc2cccc([16*])c2c1,1
Cc1c(N)ccc2c1C1C3CC(C21)C1c2ccc(N)c(C)c2C31,1
[16*]c1ccc2c(c1)Sc1ccc([16*])cc1S2,1
[16*]c1cccc(C)c1,1
[14*]c1ncc(N)cc1C,1
[16*]c1ccc(C2(c3ccc([16*])cc3)OC(=O)c3ccccc32)cc1,1
[8*]CC,1
[16*]c1cc([16*])c(N)c(C)c1,1
[16*]c1ccc(F)cc1,1
[16*]c1ccc(P(=O)(c2ccc([16*])cc2)c2cc([16*])cc([16*])c2)cc1,1
[15*]C1CCC(N)C(C)C1,1
[9*]n1c([14*])nc([14*])c1[14*],1
[15*]C1CCC(N)CC1,1
[1*]C(=O)CC,1
Cc1cc(N)c(C)cc1N,1
Cc1cc(C2(c3cc(C)c(N)c(C)c3)c3cc(O)ccc3-c3ccc(O)cc32)cc(C)c1N,1
NC1CCC(N)CC1,1
[14*]c1cccc([14*])n1,2
[16*]c1cc(N)cc([16*])c1[16*],1
Cc1c(N)cccc1N,1
[16*]c1ccc(N)cc1I,1
[16*]c1cc(F)c(F)c(F)c1,1
