block,count
[8*]C([8*])C,7
CC1=C(N)CCC=C1c1cccc(N)c1C,1
Cc1cc(N)c2cc(N)ccc2c1,1
Cc1cc(N)c2c(N)cccc2c1C,1
C=Cc1ccc(N)c2c(N)ccc(C=C)c12,1
C=C(C)c1ccc(N)c2c(N)cccc12,1
Cc1ccc2cc(N)ccc2c1N,1
Nc1cccc2c(N)cc#cc12,1
C=Cc1cc2cccc(N)c2cc1C(=C)N,1
Nc1ccc(N)c2c1C=CCC2,1
NC1=CCC=Cc2c(N)cccc21,1
Cc1cc2c(N)cccc2c(C)c1N,1
Cc1cc(C)c2c(N)cccc2c1N,1
Nc1ccc2c3c(ccc(N)c13)CCC2,1
C=Cc1c(N)cccc1C(=C)N,1
[16*]c1cc2cccc(N)c2cc1C,1
CC1C=C(N)c2c(N)cccc2C1,1
[8*]CC[8*],13
Cc1cc(N)c2cc(C)cc(N)c2c1,1
CC1C=C(N)c2cccc(N)c2C1,1
Cc1c(N)ccc2ccc(N)cc12,1
C=Cc1cccc(N)c1C(=C)N,1
NC1=CCCc2cccc(N)c21,1
Cc1ccc2c(N)ccc(N)c2c1,1
C=C(c1cccc(N)c1)c1ccccc1N,1
Cc1c(N)cccc1C#Cc1cccc(N)c1,1
Nc1c(F)c(F)c(N)c2ccccc12,1
[16*]c1ccc(N)cc1[16*],96
Nc1cccc2c(F)cc(F)c(N)c12,1
Cc1cc(N)c2c(N)cccc2c1,1
Cc1cc(N)c2c(N)cc(C)cc2c1,1
Cc1cc(N)c(C)c2ccc(N)cc12,1
Cc1cc2c(C)c(N)ccc2cc1N,1
Cc1c(N)ccc2cc(N)ccc12,1
Cc1c(N)ccc2c(C)c(N)ccc12,1
NC1=c2ccc3ccc(N)c4ccc(c2c34)CC1,1
Nc1ccc2c3c(ccc(N)c13)C=C2,1
[16*]c1cccc(N)c1C(=C)N,1
Cc1cc(N)c(C)c2cc(N)ccc12,1
Nc1c#ccc2c(N)cccc12,1
Nc1cc2cccc(N)c2c2ccccc12,1
Nc1cc2ccccc2c2c(N)cccc12,1
Nc1ccc2c(N)cc3ccccc3c2c1,1
Nc1cccc2c(N)c3ccccc3cc12,1
Nc1ccc(N)c2c1ccc1ccccc12,1
Nc1cc2c(N)cccc2c2ccccc12,1
Nc1ccc2ccc(F)cc2c1N,1
Nc1cccc2c1C(N)CCC2,1
[16*]c1c(N)cc(N)c2ccccc12,1
Cc1cccc2c(N)cc(N)cc12,1
Cc1c(N)cc(N)c2ccccc12,1
Nc1ccc2ccc(N)c(F)c2c1,1
NC1=C(c2c(N)ccc3ccccc23)C2C=CC=CC2=CC1,1
[16*]c1c(N)ccc(=CC)c1=CC,1
NC1=Cc2cc(N)ccc2CC1,1
Cc1cc2cc(N)c(C)cc2cc1N,1
Nc1ccc2c(N)c3ccccc3cc2c1,1
Nc1cccc2c1ccc1cccc(N)c12,1
Nc1cccc2ccc3cccc(N)c3c12,1
Nc1ccc2cc3ccccc3c(N)c2c1,1
Nc1ccc2c(c1)cc(N)c1ccccc12,1
Nc1ccc2c(c1)c(N)cc1ccccc12,1
Nc1ccc2ccc3cccc(N)c3c2c1,1
Nc1ccc2c(ccc3cccc(N)c32)c1,1
Nc1ccc2cc(N)c3ccccc3c2c1,1
Nc1ccc2cc3cccc(N)c3cc2c1,1
[16*]c1ccc2c(N)cccc2c1,1
Cc1cc2c(N)cccc2cc1N,1
Nc1cccc2cc3ccccc3c(N)c12,1
Nc1cccc2c1ccc1c(N)cccc12,1
Nc1ccc(N)c2c1CCCC2,1
Cc1ccc2c(N)cccc2c1N,1
Nc1cccc2c1Cc1c(N)cccc1C2,1
Nc1ccc2cccc(N)c2c1,1
Nc1cc(F)c2c(F)c(N)ccc2c1,1
Nc1cc2ccc(N)c(F)c2cc1F,1
Nc1ccc2cc(N)c(F)c(F)c2c1,1
Nc1cc2ccc(N)c(F)c2c(F)c1F,1
Nc1ccc2c(F)c(N)ccc2c1F,1
Nc1ccc2c(F)c(N)cc(F)c2c1,1
Nc1ccc2c(F)c(N)c(F)cc2c1,1
Nc1ccc2c(F)c(N)c(F)c(F)c2c1,1
Nc1ccc(F)c2c(N)cccc12,1
Nc1ccc(F)c2c(N)ccc(F)c12,1
Nc1cc(F)cc2c(N)cccc12,1
Nc1ccc(F)c2c(N)cc(F)cc12,1
Nc1cc(F)c(F)c2c(N)cccc12,1
Nc1cccc2c(N)c(F)ccc12,1
Nc1ccc(F)c2c(N)c(F)ccc12,1
Nc1cc(F)cc2c(N)c(F)ccc12,1
Nc1c(F)ccc2c(N)c(F)ccc12,1
Nc1c(F)cc(F)c2c(N)cccc12,1
Nc1cccc2c(N)c(F)c(F)cc12,1
Nc1ccc(F)c2c(N)c(F)c(F)cc12,1
Nc1cc(F)cc2c(N)c(F)c(F)cc12,1
Nc1c(F)ccc2c(N)c(F)c(F)cc12,1
Nc1c(F)c(F)c(F)c2c(N)cccc12,1
Nc1cccc2c1CCCC2N,1
Nc1ccc2c(c1N)CCCC2,1
Cc1cc2cc(C)c(N)cc2cc1N,1
Cc1c(N)c(N)cc2ccccc12,1
Cc1cc2cccc(N)c2c(N)c1C,1
Cc1ccc2cccc(N)c2c1N,1
[16*]c1cc(N)ccc1N,6
Nc1cccc2cc3cccc(N)c3cc12,1
Nc1cc(N)c2ccccc2c1,1
Nc1cccc2cccc(N)c12,1
Nc1cc2ccccc2cc1N,1
Nc1ccc(N=Nc2ccc(N)c3ccccc23)cc1,1
Nc1ccc(N)c2ccccc12,1
[3*]O[3*],322
[16*]c1ccc(N)c(F)c1,23
[4*]CCCCN,2
[4*]C(C)(C)N,1
[16*]c1ccc(N)cc1,545
[15*]C1CCC([15*])C1,1
[4*]CCCC[4*],5
[4*]CCCCCC([4*])C,1
[4*]CC([4*])CCC,1
[4*]CCCCCC[4*],5
[3*]OC1=CC=C(N)CC1,6
[4*]CCCCCN,1
[4*]CC([4*])CCCC,1
[3*]OC1=CCC(N)C=C1,2
[3*]OC=CO[3*],2
[4*]CC[4*],17
[4*]C1(C)C=C(N)C=CC1,1
[15*]C1(C)C=C(N)C=CC1,1
[15*]C1C=CC(N)CC1,1
[3*]OC1=CCC(C)C(O[3*])=C1,1
[15*]C1CC(C)C(N)=CC1C,1
[4*]CCCCC[4*],6
[15*]C1C=CC(N)=CC1,3
[4*]CCC[4*],7
[3*]OC(=C)C(C)(C)C(=C)O[3*],1
[4*]C(C)(C)CC([4*])(C)C,1
[15*]C1C=CC=C(N)C=C1,1
[3*]OC1=CC=CC(N)C=C1,1
[4*]C(C)C([4*])C,1
[4*]CCC([4*])CC,2
[4*]C([4*])(CCCC)CCCC,1
[4*]C([4*])(CCC)CCC,2
[4*]CCCC(C)N,1
[16*]c1ccc(N)cc1F,28
[15*]C1([15*])C=CC(CCC)=CC1,1
[4*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C[4*],1
[3*]OC1=CC(C)C([15*])C=C1,1
[3*]OC1=CC=C(N)C(C)C1,1
[4*]C(C)N,1
[4*]CC#CN,1
[4*]CC(=O)C[4*],1
[3*]ON,1
[15*]C1([15*])C=CC=CC1,3
[4*]CCCCCCCC([4*])CCCCCCCCCC,1
[15*]C1([15*])CCCCC1,7
[4*]CC(C)(C)N,1
[4*]CC#CC#CC#CC[4*],1
[4*]CC(C)C[4*],1
[4*]C([4*])([4*])C,1
[4*]CC,10
[4*]CC([4*])CCCCC,1
[3*]OC([7*])C(F)(F)F,1
[4*]CCCCCCN,1
[4*]CCCCCC([4*])CC,1
[4*]CC([4*])C,2
[15*]C1CCC([15*])CC1,5
[4*]C([4*])(C)C,3
[16*]c1cc(F)c(N)c(F)c1,8
[4*]C([4*])C,2
[4*]CCCCCCCCCCC[4*],2
[4*]C([4*])(C(F)(F)F)C(F)(F)F,2
[16*]c1ccc(N)cc1N,6
[4*]CCCCCCCC[4*],2
[3*]OC1=C(O[3*])C(F)(F)C(F)(F)C1(F)F,1
[4*]CC(C)(C)C[4*],2
[4*]CCCCCCCCCCCC[4*],2
[4*]CCCCCCCCCC[4*],2
[4*]CCN,1
[4*]CCCCCCCCC[4*],2
[3*]OCO[3*],2
[4*]CCCCCCC[4*],2
[15*]C1C=C(N)C=CC1,1
[4*]C([4*])(CC)CC,1
[4*]C(F)(F)C(F)(F)C([4*])(F)F,1
[4*]CCCC([4*])C,1
[3*]OC,31
[3*]OC1=CC=CC(N)C1,2
[4*]C([4*])CCC,1
[4*]C([4*])CC,1
[4*]C([4*])CCCCC,1
[4*]C([4*])CCCC,1
[3*]OC1=CCC=C(N)C=C1,2
[3*]OC1=CC(C[4*])=CCC1,1
[3*]OC1=CC=C(N)C=CC1,1
[3*]OC1=CCC=CC(N)=CC1,1
[15*]C1(N)C=CC=CC1,2
[16*]c1cccc(N)c1F,7
[3*]OC(F)(F)F,3
[4*]CC=C,3
[15*]C1(C)C=CC(N)=CC1,2
[4*]C1(C)C=CC(N)=CC1,1
[3*]OC1=CC=C(N)CC=C1,1
[16*]c1ccc(N)c(N)c1,34
[4*]C1(C)CC1,1
[15*]C1(C)CC1,1
[16*]c1ccc(F)cc1F,4
[4*]CCCF,1
[16*]c1cc(F)ccc1F,1
[16*]c1cccc(F)c1F,2
[16*]c1cc(F)cc(F)c1,3
[16*]c1ccc(F)c(F)c1,1
[4*]C(C)(C)CC,1
[16*]c1cccc(F)c1,11
[16*]c1ccccc1F,7
Nc1ccc2c(c1)Oc1cc(N)ccc1O2,1
[16*]c1ccc(F)c(N)c1,9
[4*]C(C)(C)C,1
[15*]C1CCCCC1,2
[16*]c1ccc(N)c(N)c1F,9
[16*]c1ccc(F)cc1,9
[4*]CCCCCC,1
[4*]CC[7*],1
[16*]c1ccc(C)c(N)c1,4
[4*]C(C)C,2
[16*]c1cc(N)cc(F)c1,8
[4*]CCCN,1
[4*]CCCC,2
[4*]CCCCC,1
[16*]c1cccc(N)c1N,1
[4*]CCC,2
[1*]C([1*])=O,1
[4*]C(F)(F)C(F)F,1
[15*]C1([15*])C=CCC=C1,1
Nc1ccc2c(c1)OCCOCCOCCOc1ccc(N)cc1OCCO2,1
Nc1ccc2c(c1)OCCOCCOc1ccc(N)cc1OCCO2,1
[16*]c1cc(N)cc(N)c1,7
Nc1ccc2c(c1)Oc1cc(N)ccc1OCCOCCOCCO2,1
Nc1ccc2c(c1)OCCOc1cc(N)ccc1OCCOCCO2,1
Nc1ccc2c(c1)OCCOCCOCCOc1cc(N)ccc1OCCO2,1
Nc1ccc2c(c1)OCCOCCOc1cc(N)ccc1OCCO2,1
Nc1ccc2c(c1)OCCOCCOCCOc1ccc(N)cc1OCCOCCO2,1
Nc1ccc2c(c1)OCCOCCOc1cc(N)ccc1OCCOCCOCCO2,1
Nc1ccc2c(c1)OCCOCCOc1cc(N)ccc1OCCOCCO2,1
Nc1ccc2c(c1)OCCOCCOc1ccc(N)cc1OCCOCCO2,1
Nc1ccc2c(c1)Oc1ccc(N)cc1O2,1
[3*]OC1=CC=CC([15*])(F)C1,1
[15*]C1C=CC=C(N)C1,1
[3*]OS(=O)(=O)O[3*],2
[3*]OC1=CCCC(O[3*])=C1,2
[16*]c1cc([16*])cc(C=C)c1,2
[16*]c1c(F)c([16*])c(F)c(F)c1F,2
[3*]OC1=CC=CC(C)(N)C1,1
[3*]OC1=CC=CC(N)C1C,1
[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)c([16*])c1,2
[16*]c1cc(N)ccc1P(=O)(c1ccccc1)c1ccccc1,1
[16*]c1cc(C)cc(N)c1,2
[16*]c1cccc([16*])c1Br,1
[16*]c1cc([16*])cc(Br)c1,2
[16*]c1cc([16*])cc(Cl)c1,2
[16*]c1cc([16*])cc(N)c1,15
[4*]CCCCC([4*])C,1
[3*]OC1=CC=C(N)CC1C,1
[3*]OC1=CCCC(N)=C1,1
[3*]OC1=CC=C(O[3*])CC1,1
[3*]OC1=CC(N)=CCC1,1
[16*]c1c(N)cccc1N,2
[16*]c1ccc(N=Nc2ccccc2)c([16*])c1,2
[3*]OC1=CC=CC([15*])C1,1
[16*]c1ccc(N)c([16*])c1,68
[16*]c1ccc(N)cc1C,15
[16*]c1ccc(N=Nc2ccc([16*])cc2)cc1,1
[15*]C1CCCC([15*])C1,2
[16*]c1ccc(N)c(C)c1,28
[16*]c1cc([16*])c(N)cc1N,1
[16*]c1c2ccccc2cc2c(N)cccc12,1
[16*]c1ccc2ccccc2c1[16*],2
CC1(C)c2cc3cc(N)ccc3cc2Oc2cc3ccc(N)cc3cc21,1
Cc1ccc2c(c1C)Oc1c(cc(N)c(C)c1C)C21c2ccccc2-c2ccc(N)cc21,1
Nc1ccc2cc3c(cc2c1)C(c1ccccc1)c1cc2cc(N)ccc2cc1O3,1
[16*]c1ccc2ccccc2c1,8
[8*]CC1c2cc3cc(N)ccc3cc2Oc2cc3ccc(N)cc3cc21,1
[16*]c1ccc(C2(c3ccccc3)c3cc4cc(N)ccc4cc3Oc3cc4ccc(N)cc4cc32)cc1,1
[8*]CC1(c2ccccc2)c2cc3cc(N)ccc3cc2Oc2cc3ccc(N)cc3cc21,1
Nc1ccc2cc3c(cc2c1)C(c1ccccc1)(c1ccccc1)c1cc2cc(N)ccc2cc1O3,1
[8*]CC1(C)c2cc3cc(N)ccc3cc2Oc2cc3ccc(N)cc3cc21,1
[16*]c1ccc(C2(C)c3cc4cc(N)ccc4cc3Oc3cc4ccc(N)cc4cc32)cc1,1
CC1(c2ccccc2)c2cc3cc(N)ccc3cc2Oc2cc3ccc(N)cc3cc21,1
[16*]c1ccc(C2c3cc4cc(N)ccc4cc3Oc3cc4ccc(N)cc4cc32)cc1,1
Nc1ccc2cc3c(cc2c1)Cc1cc2cc(N)ccc2cc1O3,1
[16*]c1ccc2c(c1)-c1cc([16*])ccc1C21c2ccccc2Oc2ccccc21,1
Nc1ccc2c(c1)C1(c3ccccc3Oc3ccccc31)c1cc(N)ccc1-2,1
Nc1ccc(C2(c3ccc(N)cc3)c3ccccc3Oc3cc4ccccc4cc32)cc1,1
[16*]c1c2c(cc3c([16*])c4c(cc13)C(C)(C)c1cc(N)ccc1-4)C(C)(C)c1cc(N)ccc1-2,1
[16*]c1ccc2ccc3ccc(N)c4ccc1c2c34,2
