block,count
[16*]c1ccc(C(=C(Cl)Cl)c2ccc([16*])cc2)cc1,1
[15*]C1CCC([15*])([15*])CC1,2
[8*]C([8*])CC,3
[16*]c1cccc(C)c1,2
[8*]C(C)(C)C1=CCC([15*])C=C1,1
[4*]CCCCCCCC[4*],2
[8*]C([8*])F,1
[16*]c1cc(C#Cc2ccccc2)c2c(c1)C(=O)OC2=O,1
[15*]C1C(C2(C)CCC([15*])([15*])CC2C)CCC2(C)C1CCC2C1(C)CC1,1
[16*]c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc([16*])cc21,1
[16*]c1cccc([16*])c1[16*],1
[15*]C1([15*])CCCCC1,4
[15*]C1CC2CCC3C4CCC([15*])C4(C)CCC3C2(C)CC1[15*],1
[16*]c1ccc(C)cc1[16*],1
[15*]C1CC=C(c2ccc([16*])cc2C)CC1,1
[15*]C1C=CC(OC2=CC3C(=O)OC(=O)C3C=C2)=CC1,1
[15*]C12CC3C4CC5([15*])CC3C(C1)C(C5)C4C2,1
[16*]c1ccc([16*])c2c1C1c3ccccc3C2c2ccccc21,1
[15*]C1([15*])CC(C)CC(C)(C)C1,1
[4*]C([8*])(C)C,2
[16*]c1ccc2cc([16*])ccc2c1,2
[15*]C1CC1[15*],1
[16*]c1cc2c(cc1F)C(=O)OC2=O,2
[8*]C([8*])([8*])C(F)(F)F,7
[16*]c1cccc(C#Cc2cccc([16*])c2)c1,1
[3*]OC1=CCC(C)=C2C(=O)OC(=O)C2=C1,1
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3C(=O)c3ccccc32)cc1,1
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3Oc3ccccc32)cc1,1
[16*]c1cccc(C2(C)C(=C)c3ccc([16*])cc32)c1,1
[16*]c1cccc(C2(C)c3cc([16*])ccc3C2C)c1,1
[16*]c1cccc(C2(C)c3ccc([16*])cc32)c1,1
[8*]C(F)(F)C([8*])(F)F,4
[8*]C([8*])([8*])C,2
[8*]C([8*])(F)F,3
[16*]c1cccc(C)c1[16*],1
[3*]OC1=CC=C(C([8*])(C)C)CC1,1
O=C1OC(=O)c2cc3c(cc21)Cc1cc2c(cc1C31c3ccccc3-c3ccccc31)C(=O)OC2=O,1
[16*]c1ccccc1F,1
Cc1ccc2c(c1)C1(c3cc4c(cc3Cc3cc5c(cc31)C(=O)OC5=O)C(=O)OC4=O)c1cc(C)ccc1-2,1
[8*]CCCCCC,1
