smile,value_min,value_max,value_mean,SpDiam_A,nSpiro,nBridgehead,AATS7d,AATS7p,ATSC3c,ATSC7d,ATSC7Z,ATSC1m,ATSC3p,ATSC8i,MATS6c,MATS8c,MATS3dv,MATS3d,MATS5d,MATS2v,MATS5v,MATS1se,MATS6pe,MATS3p,MATS4i,GATS4c,GATS5c,GATS7c,GATS8c,GATS4d,GATS6d,GATS3Z,GATS5Z,GATS6v,GATS5se,GATS4i,GATS7i,nBondsS,MINdO,AETA_beta,AETA_beta_s,AETA_beta_ns_d,IC1,PEOE_VSA3,PEOE_VSA9,SlogP_VSA3,SlogP_VSA11,MDEN-33,AMID_N,piPC10,n6aHRing,nARing,n10FRing,n10FaRing,nFaHRing,nFARing,JGI2,JGI3,JGI5,JGI6
Cc1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,155.0,155.0,155.0,5.051737308073489,0,0,3.161290322580645,1.3319429506781235,-0.2921675624126078,14.685000000000002,240.29625,27.974773617349182,-9.046505349317773,-23.18532327945865,-0.3021776227579957,0.1026089320690884,-0.0350552747297908,-0.1702573753982798,-0.0155843378899823,0.066000019166802,-0.0165802778747977,-0.0339443548520697,-0.2696710696198408,-0.2067805058361238,-0.1468786078006174,1.0475705978742826,0.8957571771092396,0.7361624482621096,0.9045670183264516,1.023272722139086,1.0215828984711162,0.7776422973343103,1.060063431497929,1.0426262204218228,1.1505976181890545,1.0144169231532307,0.9563180744979418,50,12.128348476839738,1.3660714285714286,0.6517857142857143,0.0178571428571428,3.452567157116929,4.899909730850478,39.06809522486554,12.35259703488695,0.0,0.0588235294117647,0.1509150757136484,8.609533055105238,0,2,0,0,0,2,0.0925925925925926,0.0687830687830687,0.0334183673469387,0.0237276939761411
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,86.4,86.4,86.4,5.0443213222366285,0,0,3.372950819672131,1.4553917020122131,-0.5066628513203999,2.6875,36.85590277777779,80.49754895916604,-9.747976843538863,-35.17200432444807,-0.0456961077339087,-0.0300535600720898,-0.0604049399311097,-0.1602826978448652,-0.0271369694374565,0.0410606578919239,0.0237934966615444,-0.020935036804083,-0.0522224365759078,-0.1802454174478505,-0.0059384933932185,1.0083039726031322,0.8483459418254938,0.7104999746577282,0.7827252385473299,0.8895627680361358,1.0192388012947686,0.7858310160979664,0.9576449024669016,1.053384552470849,0.8730755351378948,0.8699784926918771,1.0276772699055576,50,12.534100824382728,1.400735294117647,0.6507352941176471,0.0441176470588235,3.428618972184569,9.551078168738565,49.74704210563366,25.57656753500761,22.99804733313562,0.1666666666666666,0.0952516469780366,9.917980747422984,1,0,0,0,1,0,0.0885122410546139,0.0563757655293088,0.0349606481481481,0.0217566137566137
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,103.5,103.5,103.5,5.008232511675632,0,0,3.433212996389892,1.463522563986917,-0.5970560370932274,6.60555357778569,-5.204699181203289,97.7767781328469,-10.112862037193334,-42.41688218212293,-0.0680451633236215,-0.1022563550998254,-0.0592663890872981,-0.1753694038079835,-0.023263373730975,0.0266298383968543,0.0268870266865034,-0.0178513162754313,-0.0895692233888158,-0.1679136359602539,-0.004261206829113,1.007801903352183,0.7374974683655277,0.7881010662524328,0.905899895519322,0.9056306957905396,0.9918075198344256,0.7937312964129736,0.9818153911401664,1.063574828561454,0.847017364820608,0.8721190788065842,1.0007588565439562,63,12.400105881016644,1.3885135135135136,0.6452702702702703,0.0135135135135135,3.3275795695473347,9.883888251797686,50.45595121456245,18.528895552330425,22.99804733313562,0.1111111111111111,0.0874908454009485,9.502644947305582,1,2,0,0,0,2,0.0885416666666667,0.0545994363929146,0.0345377604166666,0.0208462092847474
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,102.7,102.7,102.7,5.004573020987504,0,0,3.421428571428572,1.4749107608390106,-0.4718562401115856,5.42729766803841,127.90672153635116,92.74073418732706,-10.89116445615229,-34.85025723779793,-0.0900004235286326,-0.0229503014866608,-0.0584798343124494,-0.1723560724732106,-0.0255270678937892,0.0255476540764545,0.0051803113127791,-0.0178146071112181,-0.0569185247120303,-0.1786929829389825,-0.0011496595160061,1.0151971431680014,0.8212562405882432,0.7115995580020242,0.8404258122415033,0.9234573094158144,0.9725929637794588,0.7893068347343184,1.003002217194095,1.0589664812982649,0.8916687730729864,0.8692474453051057,1.0104286961021,64,12.34339781041021,1.388157894736842,0.6447368421052632,0.0131578947368421,3.3840932958105205,9.883888251797686,50.45595121456245,18.528895552330425,22.99804733313562,0.0999999999999999,0.085156296433234,9.405166749908611,1,2,0,0,0,2,0.0899067005937235,0.0565825508607198,0.033912037037037,0.0211399246415358
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,90.2,90.2,90.2,4.9981588084851305,0,0,3.4239130434782608,1.46512491327146,-0.6207631348752665,6.472617695868636,82.44798672373136,103.59739253146104,-9.664065089700369,-37.02231694960401,-0.0605070180968955,-0.0362424197142343,-0.0745483468108792,-0.169841690239294,-0.0281548676041067,0.0148814073343955,-0.0002003186366133,-0.0235768355993557,-0.064785331567855,-0.160974002997897,-0.008937536048527,1.1026170920748957,0.7371126664298548,0.7523471145655468,0.8528637930886865,0.936522722225587,0.9526695200329752,0.8224473226589927,0.9885826251361316,1.0765891205280589,0.8469325422219404,0.8855425926630089,1.0127206061013077,64,12.305982844423816,1.39,0.65,0.02,3.363135067061909,9.883888251797686,50.45595121456245,18.528895552330425,34.49707099970343,0.0999999999999999,0.0863067305977812,9.387513280532106,1,2,0,0,0,2,0.0844099913867356,0.0564110305958132,0.0331271701388888,0.020299605406467
Cc1ccc(Oc2ccc(-c3cc(-c4ccc(C(F)(F)F)cc4)cc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5C(F)(F)F)cc4)n3)cc2)c(C(F)(F)F)c1,74.8,74.8,74.8,5.26527710089903,0,0,3.409375,1.4043691657341344,-1.0884093480918244,-18.970510396975428,404.1833648393194,66.09430588923065,-12.44013175888919,-65.19613271909051,-0.2460202075014741,0.05691926959147,-0.0072879824843446,-0.2344267507902326,0.0575489792545447,0.037665857710311,0.019342877424313,-0.015527133773497,-0.1510469786596926,-0.1809063629675157,0.0260198619029789,0.9110755786359428,0.7515270022641926,0.8588106699320632,0.8046786450695552,0.9304004999559232,1.002625831531083,0.7302875219450793,1.1513377486540677,1.0446965328288305,1.1263073592823485,0.9264138568253532,0.958512833482118,72,12.45751463769668,1.3102409638554218,0.6475903614457831,0.0120481927710843,3.447223426698445,9.883888251797686,50.45595121456245,23.9438860217272,22.99804733313562,0.0999999999999999,0.0779966486475351,9.449180091396716,1,2,0,0,0,2,0.0974124809741248,0.071095867208672,0.033703125,0.026161957625586
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,68.6,68.6,68.6,5.294334093248413,0,0,2.98705501618123,1.2813658639736114,-0.5524446777023307,33.2136252524179,364.6493782548623,104.97704489800364,-4.860129895489158,25.44929002887692,-0.0949566449162719,-0.0087539141992912,-0.0064213818902077,-0.1352348631760396,-0.1529452513764126,0.0506040798443818,-0.1195600573198193,-0.0167412964254809,-0.0356179295783602,-0.085370131719548,0.0593546539015796,0.946764062214942,0.7764424608576599,0.7078684531442659,1.1551824523875864,1.1520644358826564,0.8220232708468004,0.7375758391445945,0.9522358419852972,1.221101613622311,0.7627235259141194,0.7994939282568478,1.0044138391424362,51,12.594806422087071,1.4291044776119404,0.6455223880597015,0.044776119402985,3.3229164506774747,4.567099647791355,38.21072509363652,24.81525948696092,22.99804733313562,0.1666666666666666,0.065182321454067,9.930254517504563,0,1,0,0,1,1,0.0896358543417367,0.0663747987117552,0.0253903903903903,0.0219635508524397
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,98.3,98.3,98.3,5.294321227061108,0,0,3.073099415204678,1.3047433535124036,-0.6428378634751584,36.51838588523015,299.73884182024625,123.53870032857463,-5.278238496573797,17.37411923171478,-0.1147638024600436,-0.0891567518903999,-0.0099796242797249,-0.1503502169724688,-0.1401658153823376,0.0363854678262755,-0.0998407097272375,-0.0142314840805277,-0.0838667248026059,-0.0837418447127566,0.0497883170198989,0.9543239394866062,0.6889007697751044,0.7899331406697147,1.2808722272991817,1.1520254256725022,0.8182429541636397,0.752782447731,0.9783240424678502,1.2071014508908655,0.7591936355389935,0.8136390510298611,0.997206110931457,64,12.438663172311706,1.4143835616438356,0.6404109589041096,0.0136986301369863,3.232190812824326,4.899909730850478,38.91963420256532,17.76758750428373,22.99804733313562,0.1111111111111111,0.0597866580745932,9.52117996167924,0,3,0,0,0,3,0.0895779500430663,0.0639914243102162,0.025534188034188,0.021135046611237
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(Oc9ccc%10c(c9)C(=O)N(C)C%10=O)cc8)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,63.5,63.5,63.5,5.294319957317949,0,0,3.0432432432432432,1.301141209996165,-0.7122428568252132,35.12576795424053,459.6047595508792,155.50055193213,-4.538829430429107,25.725616291137783,-0.1091179278137446,-0.0264811305610945,-0.0428290725211791,-0.1403000400457364,-0.1430041152263374,0.004956404676164,-0.1226517466184068,-0.0212982983231341,-0.0496828573855687,-0.0659721315591908,0.0531222926811365,1.0927213911410318,0.6284149766915146,0.7388668965397592,1.2513205542501094,1.196129960574405,0.7907414262853469,0.8144722797905041,0.974230380399231,1.2219317184998555,0.7250889787549938,0.8301361856228049,1.0170392255563558,71,12.276856543283746,1.4290123456790125,0.6450617283950617,0.0246913580246913,3.1990996965699536,4.899909730850478,38.91963420256532,17.76758750428373,45.99609466627124,0.0666666666666666,0.0538634426701025,9.457418931898156,0,3,0,0,0,3,0.0819542947202522,0.0627170138888889,0.0231869594145043,0.0208813700918964
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,81.9,81.9,81.9,5.29432093377662,0,0,3.066666666666667,1.315366636845765,-0.5176380664935166,35.5446511236428,442.5156973318743,117.2671526333118,-6.046606970540189,25.78483881449897,-0.1304909777950156,-0.0028708759408311,-0.0099932050174944,-0.1483423898528135,-0.1416941523469257,0.0349556021897001,-0.1200662287421852,-0.0143263903905706,-0.0489454109785752,-0.0948652495728843,0.054431334391398,0.961150864721826,0.7620508548758809,0.7162823119488427,1.186671253676051,1.1636722092028424,0.804918769665447,0.7477246806523037,0.9950752899396158,1.2067344304875978,0.7984761481120732,0.810682632784634,1.0073355452545916,65,12.378245225746774,1.413333333333333,0.64,0.0133333333333333,3.269168865119956,4.899909730850478,38.91963420256532,17.76758750428373,22.99804733313562,0.0999999999999999,0.0581597628613535,9.42558027155989,0,3,0,0,0,3,0.0909090909090909,0.0655864197530864,0.0252430555555555,0.0213911871054728
