smile,value_min,value_max,value_mean,VR2_A,nSpiro,nN,AATS8i,ATSC3c,ATSC4c,ATSC1Z,ATSC7Z,ATSC7p,AATSC2c,AATSC5c,AATSC1dv,AATSC2d,MATS3m,MATS2v,MATS1se,MATS4se,MATS1are,MATS3p,MATS1i,MATS3i,GATS3c,GATS7c,GATS1d,GATS3d,GATS4d,GATS2s,GATS6s,GATS7m,GATS3v,GATS1p,GATS6p,GATS7i,BCUTc-1l,RPCG,C1SP3,AXp-1d,AXp-2d,NssS,AETA_beta_s,AETA_beta_ns_d,ETA_dEpsilon_D,CIC2,CIC3,PEOE_VSA2,PEOE_VSA6,PEOE_VSA11,PEOE_VSA13,SMR_VSA9,SlogP_VSA8,SlogP_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA9,MDEO-11,AMID_N,n6AHRing,nG12FHRing,RotRatio,JGI3,JGI5,JGI6,JGI7,JGI10
Cc1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,8.7,8.7,8.7,112.71729160116756,0,4,158.19671846318724,-0.2921675624126078,-0.0069403677719607,5.533750000000017,240.29625,6.37256853079656,0.0044745664242857,0.0039791643599271,1.121904069767442,-0.015,-0.0205378258110231,0.066000019166802,-0.0339443548520697,-0.144840522570845,-0.0335539421830607,-0.2067805058361238,-0.0384479956127543,-0.1486459005527499,1.051030811414926,0.7361624482621096,0.9019532073350666,1.1411850164264608,1.023272722139086,0.4249853622744116,1.4258286251200236,0.9273943971682184,1.0758446014473348,0.9058299921540832,1.0818403356088684,0.9563180744979418,-0.3820307317740762,0.0913941329067579,3,0.4246362052769786,0.2786608656416677,0,0.6517857142857143,0.0178571428571428,0.0217276565798734,1.9599248439933907,0.9910526564393018,33.66713283528141,23.762552697081823,0.0,35.443078376109035,11.126902983393991,11.126902983393991,0.0,50.31893299124609,10.966276799312087,35.23174507315853,0.0,0.0,1.5111881474203983,0.1509150757136484,0,0,0.0967741935483871,0.0687830687830687,0.0334183673469387,0.0237276939761411,0.0166148019491484,0.0075573637610674
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c(C(F)(F)F)c2)cc1,34.1,34.1,34.1,150.667836622342,0,2,165.5442561044073,-0.7385285276830479,0.9342124726873476,10.0,291.0,1.1622995478854277,0.0027148410875394,0.0011354830186413,1.2142857142857142,0.0400093140477755,0.0446891600857593,0.1044354081267313,-0.0075236480115012,0.1486415084971385,-0.007100906015861,-0.1847630741183869,-0.0166430806133046,-0.1409465989053381,1.2051171487459162,1.1219085885779356,0.9301543154494888,1.3600869739605876,0.9680602906872424,0.4012011117192138,1.2735432837500555,0.8190809394251476,1.029927136446069,0.911745532905792,1.06259139905898,1.0920264862473923,-0.3820283762230007,0.1004861699821342,4,0.4206845818830511,0.273690187432744,0,0.6409090909090909,0.0,0.0,1.9523186643682944,0.8722961540680476,24.078058467137765,66.2271221763131,0.0,23.628718917406022,22.253805966787983,22.253805966787983,0.0,16.814289258077554,57.3249248558646,30.810224679759013,24.26546827384644,0.0,0.7652502565742688,0.0792945382826564,0,0,0.081967213114754,0.0847344054580896,0.0341718587746625,0.030552363340158,0.0207647470303105,0.0079995812778181
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,34.1,34.1,34.1,160.61007715711705,0,2,164.24131592698583,-0.7395070988984027,0.9277040001107896,10.0,286.0,1.7341275378854275,0.0027142438608333,0.0010631136338557,1.2142857142857142,0.0400093140477755,0.0446891600857593,0.1044354081267313,-0.0075236480115009,0.1486415084971384,-0.007100906015861,-0.1847630741183869,-0.0166430806133046,-0.1409465989053382,1.2053605777462515,1.1011876444112143,0.9301543154494888,1.3600869739605876,0.9680602906872424,0.4012011117192138,1.2735432837500558,0.8221409891507345,1.0299271364460687,0.911745532905792,1.06259139905898,1.081972402509947,-0.3820283141786069,0.1004861704663218,4,0.4206845818830511,0.273690187432744,0,0.6409090909090909,0.0,0.0,1.9523186643682944,0.8722961540680476,24.078058467137765,66.2271221763131,0.0,23.628718917406022,22.253805966787983,22.253805966787983,0.0,22.37774074977455,51.76147336416761,18.677490542835795,31.18920547353706,0.0,0.7652502565742688,0.0792922567874856,0,0,0.081967213114754,0.0847344054580896,0.0341718587746625,0.0309486383550183,0.021051444278017,0.0089745385220686
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,36.5,36.5,36.5,106.22873984023704,0,2,168.19675201033678,-0.7067717649029308,0.9618882087865576,6.906264288980334,202.18975765889343,5.514242317683664,0.0028483771536761,0.0013428509386227,1.2229895568905076,0.0579576284103033,0.0423671016823058,0.1188347651011516,-0.0055559119486352,0.0716920344176929,-0.0058856383507402,-0.1803520411062507,-0.0114309587420828,-0.1219363124299351,1.1379176498498738,1.0040083963735853,1.003999567614312,1.3051147530332805,0.9571577847439916,0.39505209115201,1.2868841062551004,0.952080143621988,1.0436316350364525,0.9242066045044512,1.1414115215405145,1.0677325365807906,-0.3820375806871129,0.0912768285856095,5,0.419750276350681,0.2769460734983812,0,0.6440677966101694,0.0,0.0,1.8770259261396007,0.9140629631766384,24.078058467137765,54.09438803938988,0.0,23.628718917406022,22.253805966787983,22.253805966787983,0.0,17.696185628620217,51.76147336416761,31.313140256523628,6.923737199690624,0.0,0.7652502565742688,0.073921333680171,0,0,0.0769230769230769,0.0851400180668473,0.0370474910394265,0.0309805427547363,0.0195506820299179,0.0091300559290806
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,47.6,47.6,47.6,139.1244348516049,0,2,162.26123811279672,-0.746906426610513,0.8849635314060418,6.906264288980334,389.0548696844993,4.127028264589516,0.0028456035491313,0.0027196335405434,1.2229895568905078,0.0579576284103033,0.0423671016823058,0.1188347651011516,-0.0055559119486356,0.0728502398028018,-0.0058856383507403,-0.1803520411062509,-0.0114309587420827,-0.1219363124299351,1.1463149943967073,1.001000460423382,1.003999567614312,1.3209024314973932,1.013584117032393,0.39505209115201,1.3587661371127258,0.7542296856272119,1.0436316350364525,0.9242066045044512,1.0032918104023936,0.989382866350584,-0.3820351820403648,0.0912555161496694,5,0.4197502763506809,0.2769460734983812,0,0.6440677966101694,0.0,0.0,1.9851109570305088,1.0962220681416197,24.078058467137765,60.160755107851486,0.0,23.628718917406022,22.253805966787983,22.253805966787983,0.0,39.78936541132629,34.728829496393914,49.51224146190846,0.0,0.0,0.7652502565742688,0.0739747918235909,0,0,0.0769230769230769,0.0871725383920505,0.0329155188246097,0.0312528344671201,0.0218998015873015,0.0099084821658876
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,39.8,39.8,39.8,53.047400852633,0,2,160.62479473154704,-0.1975677395418207,0.0589900844921791,19.82011834319532,30.55431952662719,1.4776598996095816,0.0032001729572753,-0.0024723476434819,1.3064412510566357,-0.038320653705269,-0.0230177898857568,0.0484425148080464,-0.0105669886727797,-0.103852042704704,-0.0050338784082325,-0.1385930949462981,-0.0489024583882927,-0.1046323974331959,1.06899348645696,0.7942378539415322,0.8781236673773988,1.2417910447761191,0.9940600030152268,0.405667303128015,1.2210119332029872,1.0295805364699098,1.068966715329532,0.98189924475629,0.9846313284804706,1.2409115994964457,-0.3913097327904778,0.1441479189780371,2,0.4211425791960231,0.2700582006293718,0,0.64375,0.0,0.0,1.6165122740563715,0.7733025000998524,28.97796819798824,54.09438803938988,0.0,0.0,22.253805966787983,22.253805966787983,0.0,30.219454196252023,22.37774074977455,21.42963802185956,42.46456947923127,0.0,1.0873803730028924,0.109111112369748,0,1,0.0666666666666666,0.0670093795093794,0.0367039800995024,0.0255684051398337,0.016391973456049,0.0103704750169396
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)c(C(F)(F)F)c2)cc1,39.8,39.8,39.8,50.02039644225408,0,2,162.4403671099212,-0.1965904914430627,0.0654788770288484,19.82011834319531,35.55431952662718,0.9058319096095818,0.0032008549988685,-0.0023813439987254,1.3064412510566354,-0.038320653705269,-0.0230177898857568,0.0484425148080461,-0.0105669886727795,-0.103852042704704,-0.0050338784082325,-0.1385930949462981,-0.0489024583882937,-0.1046323974331963,1.0686466301966258,0.835503119560494,0.8781236673773988,1.2417910447761191,0.9940600030152268,0.4056673031280149,1.221011933202987,1.0253076384799178,1.068966715329532,0.98189924475629,0.9846313284804706,1.263061247671576,-0.3913097725833707,0.1441479179714861,2,0.4211425791960231,0.2700582006293718,0,0.64375,0.0,0.0,1.6165122740563715,0.7733025000998524,28.97796819798824,54.09438803938988,0.0,0.0,22.253805966787983,22.253805966787983,0.0,41.47029196263259,11.126902983393991,21.42963802185956,18.19910120538483,0.0,1.0873803730028924,0.1091142720250095,0,1,0.0666666666666666,0.0670093795093795,0.0367039800995024,0.0248881330309901,0.0157792283580098,0.0081910958302783
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,42.1,42.1,42.1,29.23445232729081,0,2,166.3209710115107,-0.1648337825867691,0.0931533619149772,14.564013840830413,60.15570934256053,4.746600779033098,0.0033305089748256,-0.0018552853874188,1.3928994643788215,-0.0137621893677257,0.0004777644989384,0.0623680492148267,-0.0106331386921725,-0.1181673047338072,-0.0083544625254505,-0.1387083987910746,-0.033289589717478,-0.0907031656322946,0.9829936467238504,0.790746850033575,0.978082191780822,1.1711111111111114,0.9714285714285716,0.3742248974789922,1.2544653021458412,1.1171578367734478,1.0834541854787407,0.9950788956158008,1.105606619949786,1.224310259843641,-0.3913193642334852,0.1259225991299529,3,0.4198658067703916,0.2748553777753272,0,0.6477272727272727,0.0,0.0,1.5329239846695213,0.809111029539026,28.97796819798824,41.96165390246666,0.0,0.0,22.253805966787983,22.253805966787983,0.0,29.655932503929574,12.13273413692322,27.496005090321173,6.923737199690624,0.0,1.0873803730028924,0.0991984342908715,0,1,0.0612244897959183,0.0694444444444444,0.0404365079365079,0.0270121217211164,0.0149777634058318,0.0100106458139619
Cc1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc7c(c5)C(=O)N(C)C7=O)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,10.3,10.3,10.3,14.219852002095184,0,4,155.99693627155244,-0.4213271346028119,0.1216651130184583,8.389374999999983,276.855,7.954263009950124,0.0049704842899702,0.002897590696728,1.1625215517241378,0.0113605442176871,-0.0031002264371058,0.0973015480605914,-0.0285237153938473,-0.1394799540285266,-0.0273301657172132,-0.1992024119547386,-0.0566041855768606,-0.1372999559534139,1.063070171071968,0.8431765448939861,0.8529333599096405,1.1446873640375412,1.024328925488954,0.4348104720491128,1.4056261611879015,0.8998365629762878,1.0383335354346848,0.9014945138494246,1.063015404089395,0.9434171515163842,-0.3821337108555791,0.0889773923430479,3,0.4193071551092498,0.2713988014316296,0,0.6637931034482759,0.0086206896551724,0.0107692521777852,2.013110386350028,0.8910526564393031,38.46167001935323,23.762552697081823,0.0,41.35025810546054,11.126902983393991,11.126902983393991,0.0,55.88238448294309,17.032643867773697,46.19802187247061,0.0,0.0,2.3360305943904573,0.1494781764020256,0,0,0.0769230769230769,0.0751811594202898,0.0328677983539094,0.0250714395790678,0.0172969981643451,0.0078397063590772
Cc1ccc(-c2ccc(N3C(=O)c4ccc(N5C(=O)c6ccc(C(=O)Nc7ccc8c(c7)C(=O)N(C)C8=O)cc6C5=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,10.3,10.3,10.3,25.143081975861275,0,4,156.26399208210395,-0.4211973761107871,0.1226404694683827,8.389374999999982,276.855,7.954263009950131,0.0049705599004452,0.0029167755007165,1.1625215517241378,0.0113605442176871,-0.0031002264371058,0.0973015480605914,-0.0285237153938473,-0.1394799540285266,-0.027330165717213,-0.1992024119547388,-0.0566041855768606,-0.1372999559534138,1.0630420966403664,0.8488005939048904,0.8529333599096406,1.1446873640375412,1.0243289254889545,0.4348104720491128,1.4054632356894012,0.8998365629762877,1.0383335354346848,0.9014945138494246,1.063015404089395,0.9434171515163842,-0.382092116912812,0.0889773923418379,3,0.4193071551092497,0.2713988014316296,0,0.6637931034482759,0.0086206896551724,0.0107692521777852,2.013110386350028,0.9160526564393026,38.46167001935323,23.762552697081823,0.0,41.35025810546054,11.126902983393991,11.126902983393991,0.0,55.88238448294309,21.93255359862417,41.29811214162014,0.0,0.0,2.3360305943904573,0.1494707280120281,0,0,0.0769230769230769,0.0751811594202898,0.0328677983539094,0.0246751645642075,0.0172969981643451,0.0080557686190484
