smile,value_min,value_max,value_mean,AATS2d,ATSC5c,ATSC7c,ATSC2d,ATSC1Z,ATSC3Z,ATSC8Z,ATSC8se,ATSC1p,ATSC3p,AATSC0c,AATSC4v,MATS6d,MATS7d,MATS3p,MATS5p,MATS5i,MATS6i,GATS2c,GATS1dv,GATS1d,GATS4d,GATS1s,GATS3Z,GATS5Z,GATS6v,GATS1se,GATS7se,GATS3p,GATS8p,GATS5i,BCUTc-1l,BCUTdv-1l,BCUTZ-1l,RPCG,Xch-4d,AXp-2d,SsssCH,SaaaC,SsssN,MAXdO,ETA_shape_y,AETA_beta_s,ETA_dEpsilon_D,fMF,CIC4,PEOE_VSA9,PEOE_VSA11,PEOE_VSA12,SMR_VSA5,SlogP_VSA3,SlogP_VSA8,SlogP_VSA11,VSA_EState9,AMID_N,nFaHRing,RotRatio,JGI3,JGI4,JGI5,JGI6,JGI7,JGI9
Cc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)nc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cn1,265.0,265.0,265.0,4.8023255813953485,0.5606751034733997,1.9099212124068567,9.739248528746032,13.11770031688544,32.4898143956541,230.8220914440923,5.613403058397463,-0.8294203712121477,-8.800988156790963,0.0275238744989695,-5.164827524293846,0.0805870549965038,-0.0574826039186962,-0.1576639182810154,-0.0116046280374599,-0.1278277265853905,-0.123690163398821,0.897169590390202,0.3400754284760945,0.9797010212832312,1.0676619148567972,0.6150913720850324,0.7287302465233878,1.3563554207448634,1.0295959339703225,0.596509999956581,0.4758603809497472,1.118859914599012,1.015460541578596,1.2923870645631794,-0.4931480202802127,0.99539386501466,5.675636475181139,0.0710814769894885,0.0,0.2758312065393974,0.0,0.0,0.8365777415016404,13.639816026299254,0.3263558515699336,0.6617647058823529,0.0,0.4893617021276595,0.9843545214146888,34.64749311001414,0.0,10.82998093879356,42.45891220825808,10.82998093879356,0.0,22.99804733313562,0.9817357110855548,0.1238758164819782,0,0.12,0.092233959311424,0.0362222222222222,0.0253689883913764,0.0331231023482839,0.0211230661619486,0.010207513929859
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(C)c(=O)c7cc6c5=O)cn4)cc3)cc2)nc1,309.0,309.0,309.0,4.47457627118644,-0.1317607693420918,0.3808975895461062,-4.139577594123043,26.413223140495823,-49.54269972451796,-52.64187327823693,-2.0265432396694205,-1.1056953637645788,-5.634241432140779,0.0217667106215774,-2.274944588969643,-0.0056098733771437,-0.0169953355193275,-0.1718112847348332,-0.0459765299223438,-0.0576878094146736,0.0160273847267964,0.8086207240348211,0.3867373431414971,0.6494096276112626,0.9525359569551274,0.5458621038929693,0.9179635282060424,0.9736336290996934,1.0373012930332377,0.6811669057484048,0.7336501946279318,1.1190799768398227,0.9110143123771758,1.0420238310306729,-0.4772698060588704,0.9953879403381626,5.65354187505455,0.0770625728220587,0.0,0.2694523781780117,0.0,0.3423988379920428,0.0,13.140459844956013,0.4271844660194175,0.6704545454545454,0.0,0.5757575757575758,0.5986329546110127,33.42912670415582,0.0,11.759976672870742,6.923737199690624,7.04767198267719,38.35918611593674,23.25900033943855,1.3568312191310374,0.1920383442661026,1,0.12,0.0566104078762306,0.0372549019607843,0.0255121527777777,0.0225460476588296,0.0163169859780646,0.0067413076341647
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(C)C8=O)cc6C5=O)cn4)cc3)cc2)nc1,266.0,266.0,266.0,4.441176470588236,0.2886718026396726,0.3525771946775269,-6.609418282548472,30.75,-53.0,-36.5,-1.9315160055401668,-0.9116834555509868,-5.964581635443319,0.0192635452904107,-3.798047523036139,0.0489432136490959,0.0383438143469308,-0.1536049634367514,0.0023120711294733,0.0248887064988746,-0.0929746577195281,0.8215596212254278,0.4067717816604037,0.6492355978535991,0.9737564380590944,0.5464302901175133,0.9219760561442136,1.0260423833769097,1.0593217207443286,0.6687683343074259,1.033999392025476,1.1004601360532194,0.9500042266395472,0.9553443424669744,-0.4772679398993609,0.9953895361480104,5.669891669754462,0.0718583819010634,0.0,0.2692182837419499,0.0,0.0,2.1469697997435007,13.484074088122924,0.4152542372881357,0.66,0.0,0.5789473684210527,0.5461812500569323,34.13803581308462,0.0,11.759976672870742,6.923737199690624,0.0,22.253805966787983,23.25900033943855,1.4375687847924126,0.1689371017921399,0,0.1228070175438596,0.053858024691358,0.0353276353276353,0.0258101851851851,0.0206589706589706,0.0152825018896447,0.0073127967711301
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(C)C8=O)cc6C5=O)cn4)cc3)cc2)nc1,283.0,283.0,283.0,4.453237410071942,-0.0122296445581538,0.5345347691552877,-7.556213017751487,28.79158448389221,-41.66140696909925,-37.22550953320183,-2.369741414858648,-0.9118869415487308,-6.723024802540809,0.0203043339200584,-2.592056265507463,0.0667120490129339,0.0249396621078036,-0.1699228418657695,-0.0245867224906572,0.0038091224181945,-0.0308151735210242,0.8305229479784001,0.3955824373591103,0.66003817456186,1.0023986958546809,0.5403603845866993,0.906597461379514,1.052230903711365,1.0487385820725703,0.652643880853025,0.7196878227237483,1.1179968952422157,0.9199418487403976,0.9791672747161388,-0.4772679504993616,0.995389482149495,5.677370808876194,0.0674800236652477,0.0,0.2698097998933372,0.0,0.0,1.9814166210600668,13.46164512375583,0.421555252387449,0.6586538461538461,0.0,0.5769230769230769,0.5321766026195744,34.13803581308462,5.783244946364939,11.759976672870742,6.923737199690624,0.0,11.126902983393991,23.25900033943855,1.3747154131388235,0.1623907170946807,0,0.135593220338983,0.0568853427895981,0.0355555555555555,0.0251827485380116,0.0212277291869128,0.0161321369343757,0.0070176334422657
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6C5=O)cn4)cc3)cc2)nc1,276.0,276.0,276.0,4.416058394160584,0.5876173709463993,0.228279116232756,-6.062236464833863,32.264462809917305,-75.8264462809918,-16.000000000000025,-1.817049090909093,-1.2940025694286623,-5.435244471523043,0.0220641022113153,-2.8697783343660555,0.1070631615753838,0.0371727115716753,-0.1403477389805881,-0.0124561632367405,0.0550532178844103,-0.0514382212581965,0.8364527720859234,0.4032478495055872,0.6677892918825562,1.0245914707054604,0.5593873076848458,0.9601759459129232,1.0301605722364064,1.0788355913518977,0.7056331525067543,0.8500161302853598,1.091632868383725,0.9029654333723406,0.9313495236330582,-0.4946167948547756,0.9953895146766494,5.677370808877841,0.0668997595751954,0.0,0.2713168187237235,0.0,0.0,2.0836464018612766,13.410719197829902,0.4094707520891366,0.6666666666666666,0.0,0.5844155844155844,0.591036039017232,34.13803581308462,0.0,11.759976672870742,6.923737199690624,0.0,11.126902983393991,34.75802400600636,1.4154254471524292,0.1655977921985029,0,0.1379310344827586,0.0566358024691358,0.0363532763532763,0.0233024691358024,0.0195684523809523,0.0161643361048122,0.0070787738496071
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cn4)cc3)cc2)nc1,303.0,303.0,303.0,4.642857142857143,0.5403234222619663,0.6025743315470468,1.6928719723183328,20.223114186851262,12.151280276816651,180.89771626297585,7.987762615916951,-0.871917632615438,-8.604740966291066,0.0237505560663239,-3.653911679079719,0.0371522840402068,-0.1396342567766725,-0.181424677702115,0.0251347913618956,-0.0435087066622202,-0.1793747462769818,0.8432511742076966,0.3566105044550143,0.8554868277194502,1.0061691666927626,0.5784869315490907,0.7844290768221036,1.248124202347727,1.0132778814456629,0.5897941039266783,0.7469433519485459,1.1345376729829,0.9625853657460044,1.2631854623419585,-0.4772679785629447,0.9953893289643522,5.675636475454916,0.0868698533840402,0.0,0.2731082383286837,0.0,0.0,1.1448708916571948,13.614163075380922,0.3654768247202985,0.6610169491525424,0.0,0.5294117647058824,0.6943476471606331,34.13803581308462,0.0,17.174967142267523,24.691324703974352,5.41499046939678,11.126902983393991,23.25900033943855,1.0403368700549236,0.1431565079507733,0,0.1212121212121212,0.0773467432950191,0.0345845004668534,0.0272115384615384,0.0293873015873015,0.0211041971305656,0.0079993789521228
Cc1ccc(Oc2ccccc2-c2ccccc2Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cn2)nc1,249.0,249.0,249.0,4.681818181818182,0.7772041447348796,0.8292144328271005,7.6928719723183345,20.223114186851262,82.15128027681664,224.2988235294117,9.373060941176467,-0.8719176326154381,-8.333459748593066,0.0238841634359837,-1.9969234757992576,-0.028082752006507,-0.1389711792398668,-0.1757049113918561,0.0495647250790556,-0.0326923467785383,-0.1603350874776521,0.8653319991517018,0.3523397199705231,0.8287528643532176,1.048758337769705,0.5778967140446409,0.7368054555059308,1.236374285123682,1.009184011888809,0.5897941039266783,0.6284725573841116,1.128885198040997,1.0208353127578518,1.2474366677968318,-0.4769230886245554,0.9953893305339871,5.675636475465172,0.0857245502297924,0.0,0.271688350460711,0.0,0.0,1.142553039138278,13.727786716597189,0.3654768247202985,0.6610169491525424,0.0,0.5294117647058824,0.694347647160634,34.13803581308462,0.0,17.174967142267523,24.691324703974352,5.41499046939678,11.126902983393991,23.25900033943855,1.0398262849339144,0.1432212785251473,0,0.1212121212121212,0.079213747645951,0.0348444444444444,0.0246086956521739,0.0268381270636909,0.0180366591080876,0.0096288126361655
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c(C)n4)cc3)cc2)nc1C,309.0,309.0,309.0,4.536144578313253,0.5305364010581783,0.5830570835920944,6.571307813066062,24.12172442941672,-1.2713440405748386,288.949039971018,9.776685916193696,-0.8517871325409118,-6.923811767227914,0.0220866082943242,-7.770120883990454,0.0015903026986012,-0.1339810162536607,-0.13689807423688,0.0581281958368189,-0.0320847665069666,-0.1470982453166792,0.8270458841402989,0.3256539235412475,0.8183697331607297,1.028762815072039,0.5770578068328934,0.7868157286044717,1.1789029777657378,0.9657300455788796,0.5830784181273158,0.7223056407010944,1.0869550447972565,0.9919783700221584,1.1912436388297365,-0.4773437398496468,0.9948265570439548,5.6756364739733645,0.0862985011756351,0.0,0.2726811243785678,0.0,0.0,1.1853342919343923,13.778556499417205,0.3882896764252698,0.6557377049180327,0.0,0.4945054945054945,0.7530695056371499,33.635120236320006,0.0,17.174967142267523,38.5387991033556,5.41499046939678,11.126902983393991,23.25900033943855,1.0424339038743966,0.138068479420458,0,0.1176470588235294,0.0786657559198542,0.0359822222222222,0.0294848484848484,0.0295101185128139,0.0206213753938153,0.0102982652192422
Cc1cnc(Oc2ccc(-c3ccc(Oc4ncc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4C)cc3)cc2)c(C)c1,299.0,299.0,299.0,4.548192771084337,0.4709946020344017,0.5597896589588238,4.922956164714414,24.121724429416723,8.827557058326256,296.42796763675886,9.28175611592803,-0.8517871325409119,-12.041627179201296,0.0221810590133639,-0.8910118393434843,0.0432484270249807,-0.0765031836610195,-0.2380878664717271,-0.0340697891026927,-0.0477216472890907,-0.1661300245439932,0.8504559888113119,0.3335010060362173,0.8183697331607297,1.0115979159860375,0.5753137711492277,0.7661430223592905,1.2524548295562266,1.0050639093550808,0.5830784181273158,0.7554458481739141,1.1999052364410503,0.9458694325509992,1.2736213266365324,-0.477180135163827,0.9950144581549116,5.675636466320932,0.0857548916796952,0.0,0.2727964204106204,0.0,0.0,1.1690155551709498,13.738886512000878,0.3882896764252698,0.6557377049180327,0.0,0.4945054945054945,0.8190035715712174,34.13803581308462,0.0,17.174967142267523,38.5387991033556,5.41499046939678,11.126902983393991,23.25900033943855,1.0422435216044323,0.1384069950029839,0,0.1176470588235294,0.0776411657559198,0.0372622222222222,0.0287575757575757,0.0288586545729402,0.0210395344323915,0.0084591847594721
Cc1ccc(-c2ccc(N3C(=O)c4cccc(-c5cccc6c5C(=O)N(C)C6=O)c4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,382.0,382.0,382.0,4.7368421052631575,0.6201979050835882,0.1766938186830979,11.05931321540063,9.0,58.0,115.0,2.4434248532778464,0.0410641413879733,-4.547734327566838,0.0214617064565898,-1.7547172300071598,-0.0284393627683705,0.0630740967544396,-0.1296104401635823,-0.1132516220561226,-0.1063689335419662,-0.1356426325096146,0.6910546673068617,0.3136603567528213,0.8612921308948214,1.086894159072079,0.5774692933009699,0.653704837721984,1.0003813882532415,1.034701491320582,0.5371948074831233,0.9605415285777704,1.059086805856244,1.0241893574575154,1.057458956240207,-0.3819733799923483,0.995389886917404,5.667614104118693,0.1263522908437422,0.0,0.2731918327497257,0.0,0.0,1.4070859096801214,13.763877525426048,0.4433781190019195,0.6477272727272727,0.0,0.4838709677419355,0.4357991936879672,39.06809522486554,0.0,0.0,19.27633423457757,12.35259703488695,22.253805966787983,0.0,1.288142736995537,0.0993244478996346,0,0.0612244897959183,0.0749684343434343,0.0428140096618357,0.0332971014492753,0.0247207720297421,0.0161020509394233,0.0116475727139568
Cc1cnc(Oc2ccc(-c3ccc(Oc4cc(C)c(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cn4)cc3)cc2)cc1C,313.0,313.0,313.0,4.548192771084337,0.5113706283886648,0.5846745624653577,4.922956164714416,24.121724429416723,-16.172442941673744,288.94903997101795,9.776685916193696,-0.8517871325409118,-9.7282318372013,0.0221668010791663,-6.279302638108449,-0.0199085024552947,-0.1339810162536607,-0.1923472574090452,0.1030869930034393,-0.0047870720191135,-0.1575156808449658,0.840518944235049,0.3335010060362173,0.8183697331607297,0.9904740615918974,0.5753137711492277,0.7818041634541247,1.1829664089687215,0.9910330162054009,0.5830784181273158,0.7223056407010943,1.154667271434002,0.9919783700221586,1.1664532234239362,-0.4772815836334084,0.9948225251956566,5.675636474004508,0.0859424973880766,0.0,0.2726811243785678,0.0,0.0,1.185334291934392,13.778556499417205,0.3882896764252698,0.6557377049180327,0.0,0.4945054945054945,0.6651574177250632,34.13803581308462,0.0,17.174967142267523,38.5387991033556,5.41499046939678,11.126902983393991,23.25900033943855,1.0424339038743966,0.1384148143932365,0,0.1176470588235294,0.0786657559198543,0.0359822222222222,0.0294848484848484,0.0295101185128139,0.0206213753938153,0.0102982652192422
Cc1ccc(Cc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2)cc1,261.5,261.5,261.5,3.875,-0.0023081170968799,0.1689606099155336,-8.194009125173578,34.405871850823274,-66.84685578258276,-172.4945447331879,-2.311993284665753,0.2436882141533914,-7.526107178192378,0.0110342163194737,-3.789386531085245,0.0113630934607345,0.0016864831038798,-0.1510598546884945,0.0743457475090853,0.0774746528687524,-0.0415461036556821,0.7639138654995837,0.4615187224607149,0.8462848297213628,0.9845770539620812,0.4715666314784096,0.9911353833800668,1.0193190615443892,1.0326234058860273,0.5434351212845756,1.0484388767794564,1.1661371139203152,0.959538368866812,0.8731070108673421,-0.391332836580962,0.9953895043983312,5.684414950698305,0.0924591407927851,0.0,0.2669368631560195,-0.2268041403136502,0.0,2.7183606120097,13.507050683352158,0.44234404536862,0.6351351351351351,0.0,0.4366197183098591,0.5846447183708028,29.35901045932913,0.0,23.628718917406022,51.8694885601727,25.598970359213293,0.0,0.0,1.5928949910047008,0.117848040946592,0,0.0952380952380952,0.0639297385620915,0.0384674329501915,0.028525641025641,0.0217394179894179,0.0157975327812284,0.0102916315937149
Cc1ccc(Nc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2)cc1,281.7,281.7,281.7,3.907801418439716,0.1764008189685566,0.415953940983448,-7.806326530612252,32.40000000000004,-51.11999999999999,-141.32,-2.2703061975510286,0.1970694740862849,-6.683949646150015,0.0132389543171164,-3.567535207577403,0.015526679483319,0.0054085361740077,-0.1390240702061104,0.064462516791663,0.0768941000380904,-0.0408951755399708,0.7456984664203594,0.4579027355623098,0.8435411020776872,1.000663995243941,0.4810909167848001,0.9831089997360783,1.0214881511351712,1.0265013657594162,0.5918735769996908,0.9849045187963662,1.146681724254911,0.9585692259194148,0.8600648477764992,-0.3913314071262135,0.9953895710498424,5.692301303053647,0.0864519005793034,0.0,0.2669368631560195,-0.2873378037032077,0.0,2.686138389787477,13.491425683352158,0.4448669201520912,0.6486486486486487,0.0135609293504029,0.4428571428571428,0.5644253572046685,29.35901045932913,0.0,23.628718917406022,45.448666937246685,19.178148736287287,0.0,0.0,1.5889887410047008,0.1737251734787701,0,0.0952380952380952,0.0639297385620915,0.0384674329501915,0.028525641025641,0.0217394179894179,0.0157975327812284,0.0102916315937149
Cc1cc(Cc2cc(C)c(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)c(C)c2)cc(C)c1C,300.2,300.2,300.2,3.809523809523809,0.1066063085556697,0.1129323215074797,-0.5701843518653007,38.6703440267093,-87.97575845550877,-68.94396864566698,-1.5624874362026393,0.3019193826517887,-8.975252969283314,0.009364818979065,-4.505603075052546,0.0330440521691162,-0.0217597409709482,-0.1616928920558125,-0.10006209820989,-0.0842710106794515,0.1185299889724267,0.7661990736254174,0.4254277903097465,0.7809057864590984,1.15164754052699,0.4951965576236288,1.0157195919288549,1.0691026348866983,0.856189422730023,0.5508911238100275,0.9819517367810686,1.212501674016488,0.9404850785906648,1.062395311325465,-0.3913445034509915,0.9947451690340874,5.673580289452439,0.0893646368557717,0.0,0.2666307258464989,-0.2856188581721681,0.0,2.8073523815570245,13.886449214114323,0.4991511035653649,0.6219512195121951,0.0,0.3734939759036144,0.7292689760600091,29.35901045932913,0.0,23.628718917406022,79.5644373589352,25.598970359213293,0.0,0.0,1.598686486248572,0.1062258475751082,0,0.0869565217391304,0.0730902777777777,0.0416049382716049,0.0360937499999999,0.0209818594104308,0.0171692958792712,0.009477534425451
