smile,value_min,value_max,value_mean,wavelength,nSpiro,ATSC5c,ATSC8dv,ATSC6d,ATSC8d,ATSC6Z,ATSC3v,ATSC6se,ATSC8p,ATSC6i,AATSC7c,AATSC3dv,MATS7d,MATS4s,MATS2v,MATS7are,MATS3p,MATS1i,MATS4i,GATS2c,GATS3c,GATS4c,GATS3d,GATS5d,GATS6d,GATS3Z,GATS3v,GATS4v,GATS1se,GATS6se,GATS8se,GATS4are,GATS3p,GATS4p,GATS3i,GATS7i,GATS8i,BCUTdv-1l,BCUTs-1l,NdssC,NaaO,SsssCH,SdsssP,MAXdO,ETA_shape_y,AETA_beta,AETA_eta,CIC3,CIC5,PEOE_VSA6,PEOE_VSA9,SMR_VSA3,SlogP_VSA4,n6aHRing,nARing,n6ARing,n5AHRing,n6AHRing,nFaHRing,n10FARing,nG12FAHRing,JGI7,JGI8,JGI10
Cc1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,86.0,86.0,86.0,550.0,0,0.8037912007052765,114.76374999999996,-2.8950000000000014,-5.245000000000002,-261.86125,-1113.136500688193,-9.134452644999994,-1.67418138057862,-74.32316706376898,0.0027300717151984,-0.1777083333333333,0.0954098041126596,-0.0871352845597763,0.066000019166802,0.4716616224615814,-0.2067805058361238,-0.0384479956127543,-0.1468786078006174,0.6843209138067415,1.051030811414926,1.0475705978742826,1.1411850164264608,1.0308919864796149,1.0215828984711162,0.7776422973343103,1.0758446014473348,1.0470260164176688,0.5695164269176878,1.4375682986207563,0.6163823995831093,1.026694539112922,1.146227631368355,1.0589591485709462,0.9194379208657308,0.9563180744979418,0.8058724889759923,0.9953894483968218,1.2157422549284471,6,0,0.0,0.0,13.478014800292833,0.4266365688487586,1.3660714285714286,0.9352050460116048,0.9910526564393018,0.4877443751081722,23.762552697081823,39.06809522486554,4.899909730850478,6.923737199690624,0,2,0,2,0,0,0,0,0.0166148019491484,0.0137641238831715,0.0075573637610674
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,89.0,89.0,89.0,600.0,0,-0.1299009875461474,8.764374535019662,-9.72706982676161,39.67934955893294,-282.3243702837709,-241.03663517148544,-0.8048146723350248,9.903961234653629,-61.94700381000892,0.0028108454635815,-0.0309337395637746,0.1327927408827609,0.0018717564436487,0.0506040798443818,0.1478724894009382,-0.085370131719548,-0.0253676773895077,0.0593546539015796,0.7961113366653052,1.1761457115789553,0.946764062214942,1.2253016591251886,1.0645827296435817,0.8220232708468004,0.7375758391445945,0.935933897892816,0.9338883908640808,0.5571661525023122,0.8411692631144283,1.1719171418011498,0.8533015114477254,1.0116855432792855,0.8805454667059067,0.8160174219923368,1.0044138391424362,0.8461528281255768,0.9953871336835336,1.159866735807379,1,0,0.0,0.0,14.010249468803172,0.39873417721519,1.4291044776119404,1.0318417640214568,1.0374143348772238,0.6909231959655031,84.42622338169795,38.21072509363652,9.13419929558271,6.923737199690624,0,1,1,0,0,1,0,0,0.0154888709869912,0.0108499615370182,0.0083712130947846
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,89.5,89.5,89.5,700.0,0,-0.1299009875461474,8.764374535019662,-9.72706982676161,39.67934955893294,-282.3243702837709,-241.03663517148544,-0.8048146723350248,9.903961234653629,-61.94700381000892,0.0028108454635815,-0.0309337395637746,0.1327927408827609,0.0018717564436487,0.0506040798443818,0.1478724894009382,-0.085370131719548,-0.0253676773895077,0.0593546539015796,0.7961113366653052,1.1761457115789553,0.946764062214942,1.2253016591251886,1.0645827296435817,0.8220232708468004,0.7375758391445945,0.935933897892816,0.9338883908640808,0.5571661525023122,0.8411692631144283,1.1719171418011498,0.8533015114477254,1.0116855432792855,0.8805454667059067,0.8160174219923368,1.0044138391424362,0.8461528281255768,0.9953871336835336,1.159866735807379,1,0,0.0,0.0,14.010249468803172,0.39873417721519,1.4291044776119404,1.0318417640214568,1.0374143348772238,0.6909231959655031,84.42622338169795,38.21072509363652,9.13419929558271,6.923737199690624,0,1,1,0,0,1,0,0,0.0154888709869912,0.0108499615370182,0.0083712130947846
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,81.2,81.2,81.2,600.0,0,0.2956401510826451,56.81692724255389,-4.257489737094943,41.56162110227967,-344.641366058171,-324.58837674603006,-3.8082073071884266,8.619564733787332,-86.72215782044069,0.0023671820098829,-0.0467401007186139,0.1357441367873009,0.0133428654547726,0.0363854678262755,0.0963305785655974,-0.0837418447127566,-0.0194749784371444,0.0497883170198989,0.806947936827829,1.1879973204894323,0.9543239394866062,1.2423639495591523,1.0573321489377452,0.8182429541636397,0.752782447731,0.9433989899026224,0.9610042633730476,0.5491086919466068,0.8761851717463662,1.1795903147651976,0.8448437342268614,1.0095773046581578,0.9077246267608756,0.8192614774980561,0.997206110931457,0.8676689246792639,0.9953887211541848,1.1598659330156862,5,0,0.0,0.0,14.064453572605686,0.3929375351716377,1.4143835616438356,1.0524750781230354,1.0854108924057728,0.5702761683051758,96.55895751862118,38.91963420256532,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0152396896258503,0.0108986127580491,0.0081739340141544
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,87.2,87.2,87.2,700.0,0,0.2956401510826451,56.81692724255389,-4.257489737094943,41.56162110227967,-344.641366058171,-324.58837674603006,-3.8082073071884266,8.619564733787332,-86.72215782044069,0.0023671820098829,-0.0467401007186139,0.1357441367873009,0.0133428654547726,0.0363854678262755,0.0963305785655974,-0.0837418447127566,-0.0194749784371444,0.0497883170198989,0.806947936827829,1.1879973204894323,0.9543239394866062,1.2423639495591523,1.0573321489377452,0.8182429541636397,0.752782447731,0.9433989899026224,0.9610042633730476,0.5491086919466068,0.8761851717463662,1.1795903147651976,0.8448437342268614,1.0095773046581578,0.9077246267608756,0.8192614774980561,0.997206110931457,0.8676689246792639,0.9953887211541848,1.1598659330156862,5,0,0.0,0.0,14.064453572605686,0.3929375351716377,1.4143835616438356,1.0524750781230354,1.0854108924057728,0.5702761683051758,96.55895751862118,38.91963420256532,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0152396896258503,0.0108986127580491,0.0081739340141544
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(Oc9ccc%10c(c9)C(=O)N(C)C%10=O)cc8)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,85.1,85.1,85.1,600.0,0,0.8669444125782508,-17.00035308240941,2.855306828613804,29.6298990184309,-337.33797048231054,-236.20384184747803,-1.7186605287762649,9.715125666557505,-84.15965587124393,0.0023346474552217,-0.2000545039888367,0.1257358368469479,0.0058203517403448,0.004956404676164,0.121815166711105,-0.0659721315591908,-0.0318626046352271,0.0531222926811365,0.8347114871964982,1.2847118895272216,1.0927213911410318,1.2277677004789678,1.0564487467265242,0.7907414262853469,0.8144722797905041,0.9325723105240268,0.9420371372206098,0.5877135626874259,0.8182294033995097,1.2166253221402237,0.915890001062245,0.9992978699177412,0.898408433730267,0.8314318609808194,1.0170392255563558,0.8743764552501692,0.995388419913757,1.1598651204647217,5,0,0.0,0.0,14.10041367666866,0.3811881188118813,1.4290123456790125,1.0507263859254865,1.1985646259083254,0.6136096639382682,84.42622338169795,38.91963420256532,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0156831893341278,0.0109696656440353,0.007173940218291
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(Oc9ccc%10c(c9)C(=O)N(C)C%10=O)cc8)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,88.8,88.8,88.8,700.0,0,0.8669444125782508,-17.00035308240941,2.855306828613804,29.6298990184309,-337.33797048231054,-236.20384184747803,-1.7186605287762649,9.715125666557505,-84.15965587124393,0.0023346474552217,-0.2000545039888367,0.1257358368469479,0.0058203517403448,0.004956404676164,0.121815166711105,-0.0659721315591908,-0.0318626046352271,0.0531222926811365,0.8347114871964982,1.2847118895272216,1.0927213911410318,1.2277677004789678,1.0564487467265242,0.7907414262853469,0.8144722797905041,0.9325723105240268,0.9420371372206098,0.5877135626874259,0.8182294033995097,1.2166253221402237,0.915890001062245,0.9992978699177412,0.898408433730267,0.8314318609808194,1.0170392255563558,0.8743764552501692,0.995388419913757,1.1598651204647217,5,0,0.0,0.0,14.10041367666866,0.3811881188118813,1.4290123456790125,1.0507263859254865,1.1985646259083254,0.6136096639382682,84.42622338169795,38.91963420256532,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0156831893341278,0.0109696656440353,0.007173940218291
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,80.2,80.2,80.2,600.0,0,-0.0066212295363591,5.621075667031363,-1.8463934012288448,37.24686474202508,-306.0573184075414,-366.2795694317296,-1.6278193320428012,9.579659736000949,-71.97101448177621,0.0028740776682863,-0.0470566322623301,0.1302762199147341,-0.0125650025588964,0.0349556021897001,0.1491095299650386,-0.0948652495728843,-0.0193784982091391,0.054431334391398,0.8132741038582127,1.161720045636493,0.961150864721826,1.2362003408941924,1.05577040140366,0.804918769665447,0.7477246806523037,0.9462228834997628,0.9447969877010234,0.5502893884171777,0.8463259850584838,1.1650592705086713,0.8907346739919763,1.0219437822940811,0.8936356030826424,0.8296707018359213,1.0073355452545916,0.8578034695028861,0.9953886672895956,1.1598657559795478,6,0,0.0,0.0,14.069061223807948,0.3979129479610052,1.413333333333333,1.055324961396049,1.0838437200680504,0.5598123854004919,96.55895751862118,38.91963420256532,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0156722411186696,0.0108966029873109,0.008129396614245
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,87.4,87.4,87.4,700.0,0,-0.0066212295363591,5.621075667031363,-1.8463934012288448,37.24686474202508,-306.0573184075414,-366.2795694317296,-1.6278193320428012,9.579659736000949,-71.97101448177621,0.0028740776682863,-0.0470566322623301,0.1302762199147341,-0.0125650025588964,0.0349556021897001,0.1491095299650386,-0.0948652495728843,-0.0193784982091391,0.054431334391398,0.8132741038582127,1.161720045636493,0.961150864721826,1.2362003408941924,1.05577040140366,0.804918769665447,0.7477246806523037,0.9462228834997628,0.9447969877010234,0.5502893884171777,0.8463259850584838,1.1650592705086713,0.8907346739919763,1.0219437822940811,0.8936356030826424,0.8296707018359213,1.0073355452545916,0.8578034695028861,0.9953886672895956,1.1598657559795478,6,0,0.0,0.0,14.069061223807948,0.3979129479610052,1.413333333333333,1.055324961396049,1.0838437200680504,0.5598123854004919,96.55895751862118,38.91963420256532,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0156722411186696,0.0108966029873109,0.008129396614245
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4C(=O)c4ccccc43)cc2)c(C(F)(F)F)c1,87.3,87.3,87.3,600.0,0,0.5471285139836803,166.4503567181926,-3.346016646848988,32.6192033293698,-367.81212841854943,-288.418135250725,-9.086716546967924,7.387252624841128,-171.86564820482707,0.0026629510479336,0.1765828066003296,0.0347432143185429,0.1603458995743276,0.0460011341176827,0.2657547946232811,-0.1040324515339642,-0.0083883831945888,0.0881319840588279,0.8242638356929815,1.2496061220835586,0.8664238172788146,1.335033319733442,0.9636692506459946,0.8430232558139534,0.6885025722305049,0.9480351445933,0.9601246734344292,0.5533698659790164,0.952596208304086,0.9066845091703144,0.7854343911871517,1.0405792232595523,0.9541819596213376,0.8627169426770058,0.909413945854426,0.8518104774730263,0.9953885144845748,1.0870534964960314,5,0,0.0,0.0,14.083783293765409,0.3588590517795196,1.3323170731707317,1.1971114496918975,1.1567311160981388,0.6769769397670746,96.55895751862118,38.91963420256532,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0188722775932078,0.0106347461713169,0.0083205669363544
